test
;Temps;Déplacement machine;Charge;Charge interpolée VIC;Déformation interpolée VIC;Déplacement Delta_L interpolé
65;6.286;0.3111200000000025;2922.47363;2946.4475555555487;0.0016379273333333253;0.04095588888888875
66;6.386;0.31628000000000256;2954.0354;2982.940444444432;0.0016484608888888872;0.0413765333333332
67;6.486;0.32098000000000226;2980.45142;3023.151555555542;0.0016536331111111093;0.041784866666666524
68;6.586;0.3258900000000011;3019.87134;3054.100444444436;0.00166846044444444;0.042348684444444284
69;6.686;0.3309500000000014;3060.56152;3088.4544444444364;0.0016810060740740716;0.042702859999999954
70;6.786;0.3362000000000016;3103.54028;3128.941555555551;0.0017003588888888851;0.043088755555555476
71;6.886;0.3408500000000032;3137.63452;3174.2499999999986;0.0017356299999999993;0.043825386666666646
72;6.986;0.34599000000000046;3178.16724;3209.3702941176334;0.001756058382352934;0.04432764632352915
73;7.086;0.3508800000000001;3213.38208;3245.399705882348;0.001774896617647056;0.04500227867647049
74;7.186;0.35629000000000133;3254.65576;3279.042835820891;0.001790492985074625;0.045493161194029796
75;7.286;0.3607900000000015;3285.02734;3313.918111111102;0.0018112961111111032;0.04595614444444431
76;7.386;0.366100000000003;3326.85474;3354.3958888888783;0.0018475738888888795;0.0465772555555554
77;7.486;0.3708500000000008;3361.33765;3390.765333333329;0.001863219333333334;0.047097046666666614
78;7.586;0.37627000000000166;3403.69946;3431.596518518519;0.0018792257777777782;0.047732313333333345
79;7.686;0.3807500000000026;3434.44507;3473.5822962962984;0.0019028405925925933;0.04836675185185187
80;7.786;0.3861200000000018;3476.22778;3503.552666666671;0.0019113813333333346;0.0486115666666667
81;7.886;0.39098000000000255;3510.18408;3535.5924444444395;0.001942948444444439;0.04931043777777765
82;7.986;0.39623000000000275;3547.65942;3569.0377777777667;0.001973159111111102;0.04990659333333317
83;8.086;0.4008300000000027;3578.04443;3603.4266666666535;0.0020005146666666565;0.05038675999999982
84;8.186;0.40622000000000114;3616.39282;3635.999999999989;0.002013109333333331;0.050695377777777696
85;8.286;0.41107000000000227;3648.14844;3670.7788888888767;0.002021054055555553;0.051074097777777605
86;8.386;0.41613000000000255;3681.24512;3709.5566666666537;0.0020290151666666643;0.051631653333333145
87;8.486;0.42089;3712.61255;3742.1056666666614;0.002047739388888884;0.05219673222222212
88;8.586;0.4260200000000012;3746.88403;3770.6723333333357;0.0020733449444444467;0.05276662111111116
89;8.686;0.4311100000000003;3780.19849;3798.827999999996;0.002100523999999996;0.053383339999999904
90;8.786;0.43595000000000184;3808.15918;3832.5179999999914;0.002128295333333327;0.05372736
91;8.886;0.4410000000000025;3840.71533;3864.371955555552;0.0021415359555555557;0.05403253422222215
92;8.986;0.4459400000000002;3868.89697;3889.5897333333273;0.002143153733333333;0.054568845333333206
93;9.086;0.45128000000000057;3902.93115;3916.651666666656;0.0021538421111111012;0.05515414333333311
94;9.186;0.455840000000002;3926.18726;3947.818333333322;0.0021847198888888778;0.05584847666666641
95;9.286;0.4610800000000026;3959.22314;3975.924999999994;0.0022119199999999944;0.05640692333333323
96;9.386;0.46581000000000117;3983.89478;4001.0916666666676;0.002235586666666668;0.05683481222222224
97;9.486;0.4712100000000028;4014.44702;4029.4112592592555;0.002253815259259257;0.05732273555555549
98;9.586;0.4757700000000007;4035.45239;4054.4219999999946;0.002337096999999936;0.05790232999999978
99;9.686;0.4812000000000012;4067.59229;4071.2608888888853;0.0025399775555555153;0.05860130222222208
100;9.786;0.4858500000000028;4080.13037;4088.099777777776;0.002742858111111094;0.059300274444444384
101;9.886;0.4913000000000025;4098.01562;4104.938666666667;0.0029457386666666774;0.0599992466666667
102;9.986;0.4958500000000008;4108.66406;4113.169131238447;0.0032612574306839473;0.06133412680221824
103;10.086;0.501260000000002;4126.77246;4118.681146025879;0.0036123461552680517;0.06286981996303155
104;10.186;0.506020000000003;4135.29346;4124.193160813309;0.003963434879852156;0.06440551312384486
105;10.286;0.5111300000000014;4136.19336;4129.7051756007395;0.00431452360443626;0.06594120628465817
106;10.386;0.5158000000000023;4143.96533;4135.217190388171;0.00466561232902037;0.06747689944547151
107;10.486;0.5211800000000011;4147.24512;4127.067777777775;0.0050693788888889445;0.06980587777777819
108;10.586;0.5260700000000007;4153.18945;4093.547142857139;0.005570975714285772;0.07360810000000043
109;10.686;0.5310400000000008;4145.80127;4060.026507936504;0.006072572539682599;0.07741032222222266
110;10.786;0.5358600000000031;4132.95215;4037.9028888888847;0.00640362644444451;0.07991978888888938
111;10.852;0.5396600000000014;4057.84155;4054.5543809523842;0.006553876412698425;0.08493338253968323
112;10.952;0.5442200000000028;4072.8811;4079.373428571432;0.0066469303809523934;0.0901441761904769
